a-cursing,1.5,1.5,0.5,1.875
a-down,0.8,2,0.8,1.1
a-down-a,0.625,0.75,0.875,0.75
a-making,0.2,1.3,1.7,0.3
a-piece,0.7,0.9,1,0.5
a-work,0.333333333333333,0.8,1.66666666666667,0.666666666666667
abate,0.4,0.8,1.1,1
abatements,1,1.2,1,1.1
abhorred,2,2.1,1.1,1.9
ability,0.1,1.3,3.5,0.8
able,0.3,0.3,3.1,0.3
aboard,0.9,0.8,2.8,1.1
abominably,3.11111111111111,2.22222222222222,0.666666666666667,3.33333333333333
about,0.2,0.8,0.8,0.4
above,0.8,0.6,2.3,1
abridgement,1.2,1.2,1.8,1.2
abroad,0.4,1.1,3.1,1
absent,2.1,2,0.9,2.9
absolute,1.4,1.1,1.7,0.5
abstinence,0.9,1.3,1.5,1.5
abstract,0.4,1.4,1.4,0.7
absurd,1.7,0.3,0.8,0.5
abuse,3.4,2.7,1,2.7
abused,4.1,3.6,0.4,4
abuses,3.4,3.4,0,3.3
accent,0.2,0.7,1.5,0.7
accepts,1.1,1,3.2,1.6
access,1.8,1.2,2.6,1.2
accident,2.8,4,0.3,3.8
accidental,2.4,2.8,1.2,3.3
accidents,1.3,3.1,0.2,2.9
accord,0.5,0.4,1.9,0.5
according,0.5,0.5,1.2,0.5
account,1.6,2.4,1.8,1.1
accounted,1.6,1.6,1.9,0.8
accurst,1.9,2.2,0.4,1.7
accuse,3.6,2.6,0.8,2.5
ache,2.66666666666667,2.11111111111111,0.777777777777778,2.55555555555556
achievements,0.8,0.9,3.9,0.9
acquaint,1.8,1,2.1,2
acquaintance,0.888888888888889,0.777777777777778,3.33333333333333,1
acquire,0.5,0.7,1.6,0.5
acres,0.444444444444444,0.222222222222222,1.88888888888889,0.555555555555556
across,1.3,0.5,1.2,1.2
act,1.2,2.3,3.2,1.2
acted,1.2,1.8,3,2
acting,1.55555555555556,1.77777777777778,1.7,1.22222222222222
action,1.2,1.3,2.4,1.2
actions,1.8,1.8,2.7,2
actively,0.2,0.3,2.3,0.2
actor,2,1.8,2.8,2
actors,0.6,0.4,2.8,0.4
acts,1.3,1.8,1.9,1.2
adam,1.2,1.3,2.9,1.5
adam's,0.111111111111111,0.444444444444444,0.888888888888889,0.5
adders,1,1.6,0.4,0.5
addicted,3.1,2.9,1.2,3.4
addition,1.6,0.888888888888889,2.125,0.777777777777778
address,0.2,0.8,1.4,0.7
adheres,1.4,1.2,2,1.3
adieu,1.4,1.66666666666667,1.11111111111111,2.9
adjoin'd,0.888888888888889,0.444444444444444,1.66666666666667,0.888888888888889
admirable,0.8,1.3,3,0.7
admiration,0.3,0.2,3.3,0.2
admit,1.7,2.1,1.5,1.7
admittance,0.9,0.6,1.7,0.5
adoption,1.3,0.5,3,1.3
adulterate,2.2,1,0,2.77777777777778
advanced,1,1.7,2.4,0.6
advancement,0.888888888888889,2.33333333333333,2.22222222222222,0.888888888888889
advancing,0.9,1.7,2.9,1.4
advantage,1.6,1,3.5,1.3
adventurous,0.5,2.8,3.9,1
advice,0.6,1.1,2.2,0.3
advise,1.1,1.2,2.3,0.9
aeneas,0.3,0.8,0.9,0.5
aery,1.4,1.2,2.2,1.1
afar,0.8,2.2,1.9,1.9
afeard,0.8,1.5,0.6,0.4
affair,2.9,2.9,0.9,2.5
affairs,2.1,1.2,1.7,2.55555555555556
affectation,0.2,0.6,1.7,0.8
affection,0.1,0.1,4.4,0.1
affections,1.4,2.1,3.9,1.8
afflict,2.7,3.5,1,3
affliction,2.5,2.8,1.7,2.6
afflicts,2.7,4,0.6,3.9
affrighted,1.1,1.5,0.7,1.1
affront,1.1,0.6,0.6,0.7
afoot,0.3,1.2,0.5,0.6
afraid,1.5,4.4,0.7,1.9
after,0.3,0.3,0.7,0.5
afternoon,0.1,0.1,2.7,0.1
afterwards,0,0,0.2,0.3
again,0.4,0.7,1,0.6
against,2.5,1.8,1.1,2.2
age,1.33333333333333,2.11111111111111,2.88888888888889,1.55555555555556
ago,0.6,1,1.1,0.6
agreeing,0.1,1.2,3.5,0.5
ah,0.4,0.3,1.3,0.9
aid,0.9,1.5,3.4,1.1
aim,1.44444444444444,1.4,2.9,1.3
aim'd,0.777777777777778,0.888888888888889,0.777777777777778,0.666666666666667
air,0.9,0.8,3.1,0.9
airs,1.33333333333333,0.888888888888889,1.22222222222222,0.777777777777778
airy,1.7,1.4,1.9,1.4
alack,2,1.6,0.5,2.3
alarm,2.2,2.8,0.5,0.9
alas,1,0.9,0.8,0.4
alexander,1.4,1.9,1.8,1.1
all,1.2,0.8,2.2,0.9
all's,0.6,0.6,0.7,0.6
allegiance,0.7,0.8,2.5,0.1
alleys,0.9,1.6,1.3,1.2
allow,1,1.2,2.8,0.6
allow'd,1.2,0.9,2.5,0.6
allowance,0.8,0.6,3,1.1
almost,1.2,1,1.9,1.5
alone,1.5,2.7,0.7,3.2
along,0.4,0.3,0.3,0.2
aloof,2,0.8,0.2,1.1
already,0.4,0.8,1.8,1.1
also,0.4,0.7,1.2,0.6
altitude,1.1,1.7,1.6,0.9
altogether,0.2,0.4,3.1,0.3
always,0.6,1,2,0.7
am,1.5,1.2,1.9,1.7
amaze,0.4,0.7,4,0.4
amazed,0.5,0.4,4.1,0.4
amazement,0.5,0.9,4.3,0.4
ambassador,0.4,1.5,1.7,0.6
ambassadors,0.3,0.3,1.8,0.2
amber,0.888888888888889,1,2.44444444444444,1
ambiguous,0.8,1.2,0.8,0.8
ambition,1.2,2.1,3.3,0.3
ambitious,0.7,1.3,3.5,0.4
amble,0.5,1,1.9,0.9
amen,0.777777777777778,0.555555555555556,2.9,0.777777777777778
amiss,2.6,2.6,0.7,1.5
amities,1,0.6,2.2,1
among,0.8,0.5,1.4,0.4
an,0,0,0,0
